	UserName	Date	Time	Longitude	Latitude	Tweet
97	John Napoli	2016-04-16	3:30	-74.21444444	40.13027778	howel nj wind 00 mph baro 30426 rise temp 412 f rain today 000 humid 77 http tco jrbhn 6rgac
98	KD4NGC WX Station	2016-04-16	3:30	-83.07083333	33.03916667	2330 02 temp 556 f dew point 521 f rain today 036 inch wind 00 mph ene gust 00
99	Â Spoogy	2016-04-16	3:30	-91.1402	30.4581	bless aj tha barber #su19 #su19 #su18 #su17 #su16 #lsu19 #lsu18 #lsu17 #barber http tco dqv 9lwcdvk
100	Sulay Castillo	2016-04-16	3:30	-99.19625871	19.42371089	merc benz fashion week @malafachabrand #mbfwmx mercedes-benz fashion week xico http tco moujxeu 0b0
101	#TheSpeedBrand	2016-04-16	3:30	-84.3881	33.7489	captur @arantesstephen tonight #snapchat need 4lspeed #summersmin http tco a8eq6e3sw9
102	Mouton Cove Weather	2016-04-16	3:30	-92.218675	29.875016	688 f feel 688 f humid 88 wind 60 mph e gust 76 mph pressur 10089 mb rain 009 #weather http tco 75yznjjevp
103	Đoko Bodiroga	2016-04-16	3:30	-118.4719922	33.98588006	la sunset venic beach http tco eojexlbbyg
104	Jen Busfield	2016-04-16	3:30	-79.052593	35.911217	lemon creme #crepe @parlezvouscrep tonight #chapelhil #nc #foodtruck #yummygood http tco wtw 57eoxbc
105	Atlanta_Crime	2016-04-16	3:30	-84.392038	33.7532584	assault 00 block broad st sw atlanta ga via http tco bp2bx2w5oo aggassault ucr 0410 rep http tco zvqroexwc 6
106	DTPG Los Angeles	2016-04-16	3:30	-118.23193359999999	34.028179200000004	tree base klear concentr treebaseklear http tco 6rnrut3svz
107	Jackie AliXander	2016-04-16	3:30	-118.243	34.0522	#best pre game boost thank @yoitskeisha #nzmade #kiwisinla v #travellingdrink lo http tco qdxmvx 128l
108	SHC Careers	2016-04-16	3:30	-114.0530065	35.189443	want work #kingman az view latest open http tco yq7kmwzpzb #healthcar #job #job #hire http tco 5uuxabxui5
109	CRAZY LOS	2016-04-16	3:30	-117.38577269999999	33.9479599	#gainsallday #motivationtrain #burnfat #biuldmuscl #focu #gymrat #meathead #live2train http tco 6vdcsloo7p
110	Miguel Hdz	2016-04-16	3:30	-100.2840315	25.68072139	#palnort parqu fundidora mti pal nort http tco ml6qyulvvd
111	Carl King	2016-04-16	3:30	-84.51194444	37.47472222	#trump 2016 temp 631 f wind 00 mph pressur 3015 hpa steadi rain today 004 forecast fine weather
112	Alan Clark	2016-04-16	3:30	-89.23388889	31.62277778	temp 610 f wind 03 mph pressur 30071 hpa rise rain today 000
113	The Black Madonna	2016-04-16	3:30	-116.32746999999999	33.721067	king road frank place http tco avjcakydxk
114	Gabriela Velázquez	2016-04-16	3:30	-100.75	20.9167	danger thing happen like zimmi zimmi http tco ji6lhjmptm
115	WorldStar DJGio	2016-04-16	3:30	-122.34618459999999	37.9494155	spin @spifftvfilm ft @yandelofici x @1futur #micombo #mysquad http tco wscotpqey 9
116	Alan Clark	2016-04-16	3:30	-90.89833333	31.58694444	wind 10 mph wnw baromet 29984 rise temperatur 615 f rain today 002 humid 93
117	Kevin McKernan	2016-04-16	3:30	-105.20494840000002	40.0625305	post photo averi brew compani http tco az 2ugajia
118	Weirton Weather	2016-04-16	3:30	-80.59527778	40.43	temp 495 f w c 495 f wind 00 kt baro 10338 mb rise slowli rain today 000 r h 61 #wvwx
